2025-12-14 08:14:44 | INFO     | Model: seq_lstm
2025-12-14 08:14:44 | INFO     | Mode: 7class (7 classes)
2025-12-14 08:14:44 | INFO     | Data dir: /home/rozsa/Dokumentumok/egyetem/msc/VITMMA19/data
2025-12-14 08:14:44 | INFO     | Save dir: /home/rozsa/Dokumentumok/egyetem/msc/VITMMA19/models/seq_lstm
2025-12-14 08:14:44 | INFO     | Device: cuda
2025-12-14 08:14:44 | INFO     | Loaded data: X=(720, 256, 4), Y=(720, 256) (balanced=True)
2025-12-14 08:14:44 | INFO     | Class names: ['None', 'Bearish Normal', 'Bearish Wedge', 'Bearish Pennant', 'Bullish Normal', 'Bullish Wedge', 'Bullish Pennant']
2025-12-14 08:14:44 | INFO     |   None: 121231 (65.8%)
2025-12-14 08:14:44 | INFO     |   Bearish Normal: 6805 (3.7%)
2025-12-14 08:14:44 | INFO     |   Bearish Wedge: 11233 (6.1%)
2025-12-14 08:14:44 | INFO     |   Bearish Pennant: 14351 (7.8%)
2025-12-14 08:14:44 | INFO     |   Bullish Normal: 6266 (3.4%)
2025-12-14 08:14:44 | INFO     |   Bullish Wedge: 13240 (7.2%)
2025-12-14 08:14:44 | INFO     |   Bullish Pennant: 11194 (6.1%)
2025-12-14 08:14:44 | INFO     | Config: {'input_size': 4, 'hidden_size': 128, 'num_layers': 2, 'num_classes': 7, 'dropout': 0.2, 'bidirectional': False, 'learning_rate': 0.001, 'batch_size': 16, 'epochs': 100, 'weight_decay': 1e-05, 'use_class_weights': True, 'max_class_weight': 10.0, 'patience': 20, 'min_delta': 0.0001, 'scheduler': 'cosine', 'warmup_epochs': 5, 'label_smoothing': 0.05, 'focal_loss': False, 'focal_gamma': 2.0, 'name': 'seq_lstm', 'description': 'LSTM for per-timestep sequence labeling', 'mode': '7class'}
2025-12-14 08:14:44 | INFO     | Train: 504 samples
2025-12-14 08:14:44 | INFO     | Val:   108 samples
2025-12-14 08:14:44 | INFO     | Test:  108 samples
2025-12-14 08:14:44 | INFO     | Class weights (balanced): [0.12084904313087463, 1.2084904909133911, 1.185412049293518, 0.971321165561676, 1.2084904909133911, 1.0969464778900146, 1.2084904909133911]
2025-12-14 08:14:44 | INFO     | Model parameters: 201,607
2025-12-14 08:14:45 | INFO     | ============================================================
2025-12-14 08:14:45 | INFO     | TRAINING STARTED
2025-12-14 08:14:45 | INFO     | ============================================================
2025-12-14 08:14:46 | INFO     | Epoch   1/100 | Train Loss: 1.9956 Acc: 0.1746 | Val Loss: 1.9590 Acc: 0.1800 F1: 0.0612 | LR: 1.00e-03
2025-12-14 08:14:46 | INFO     |   -> New best model saved (F1: 0.0612)
2025-12-14 08:14:46 | INFO     | Epoch   2/100 | Train Loss: 1.9232 Acc: 0.2361 | Val Loss: 1.9782 Acc: 0.1517 F1: 0.0534 | LR: 9.99e-04
2025-12-14 08:14:46 | INFO     | Epoch   3/100 | Train Loss: 1.9808 Acc: 0.2384 | Val Loss: 1.9026 Acc: 0.5288 F1: 0.1323 | LR: 9.98e-04
2025-12-14 08:14:46 | INFO     |   -> New best model saved (F1: 0.1323)
2025-12-14 08:14:46 | INFO     | Epoch   4/100 | Train Loss: 1.9512 Acc: 0.2543 | Val Loss: 1.9505 Acc: 0.1017 F1: 0.0406 | LR: 9.96e-04
2025-12-14 08:14:47 | INFO     | Epoch   5/100 | Train Loss: 1.9319 Acc: 0.2522 | Val Loss: 1.9132 Acc: 0.2969 F1: 0.1073 | LR: 9.94e-04
